Revised Product Name,Product category,Sub category,MRP,VAT,Maalgaadi Cost price,Maalgaadi Price,Customer Discount,Customer Discount %,Description
WRIGLEYS PIM POM FRUIT FLAVOUR 625G,Confectionery,Chewing Gum,150,5,125,145,5,3%,"Buy WRIGLEYS PIM POM FRUIT FLAVOUR 625G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
BEST OF MINIS 500G,Confectionery,Chocolate,400,12.5,350.88,391,9,2%,"Buy BEST OF MINIS 500G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
BOUNTY CHOCOLATE 57G,Confectionery,Chocolate,35,12.5,30.17,34,1,3%,"Buy BOUNTY CHOCOLATE 57G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
BOUNTY MINIATURES 150G,Confectionery,Chocolate,140,12.5,133.34,138,2,1%,"Buy BOUNTY MINIATURES 150G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
BOUNTY MINIS 270 GMS,Confectionery,Chocolate,230,12.5,175.44,221,9,4%,"Buy BOUNTY MINIS 270 GMS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY 5 STAR 12G PACK OF 54,Confectionery,Chocolate,270,12.5,245.45,265,5,2%,"Buy CADBURY 5 STAR 12G PACK OF 54, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY 5 STAR 13G X 6U SVP,Confectionery,Chocolate,40,12.5,31.26,38,2,5%,"Buy CADBURY 5 STAR 13G X 6U SVP, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY 5 STAR 24 G PACK OF 40,Confectionery,Chocolate,400,12.5,363.63,391,9,2%,"Buy CADBURY 5 STAR 24 G PACK OF 40, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY CRACKLE 42G,Confectionery,Chocolate,35,12.5,30.7,34,1,3%,"Buy CADBURY CRACKLE 42G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY DAIRY MILK 38G,Confectionery,Chocolate,22,12.5,19.29,21.5,0.5,2%,"Buy CADBURY DAIRY MILK 38G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
